,Neurons,Astrocytes,Oligodendrocytes,Microglia,Endothelia
ENSG00000106351,0.834106756,4.169462175,0.678533813,1.889673172,1.85637837
ENSG00000164252,10.55226742,8.047432258,8.397255446,10.92386545,11.58074651
ENSG00000162688,9.094051577,24.778871,5.919393585,4.535267058,6.910746939
ENSG00000160216,3.269092722,5.348531413,3.721890303,5.678048713,2.678415043
ENSG00000026652,8.38747825,1.424339799,30.47215709,4.147302218,3.554813107
ENSG00000155189,10.09119342,13.48403017,8.530546016,8.909093085,10.53493483
ENSG00000018510,5.353680958,4.43430241,8.50788948,8.296111338,9.924582714
ENSG00000135744,2.799548128,210.2291438,4.366854278,2.305138795,21.00645421
ENSG00000135049,36.24972738,14.54360155,79.60029437,25.70289655,29.79312972
ENSG00000153207,7.087040047,11.38880169,5.569685889,7.468091169,5.514554371
ENSG00000101444,4.309599875,2.41666236,6.76165555,3.390939426,14.57101059
ENSG00000168710,25.30633824,210.55159,24.67545243,36.13062512,36.8821638
ENSG00000158467,10.88930347,76.44437703,9.93664811,11.21175398,21.13167717
ENSG00000135541,195.6742125,53.82662146,42.06093185,26.7681718,23.60665188
ENSG00000124942,0.702718453,10.88533987,0.691375837,2.684658658,27.30310501
ENSG00000106546,4.19902619,0.884723764,10.48357422,4.422721302,4.13033793
ENSG00000100591,20.60465422,17.85240433,23.90760278,15.62154127,46.9974413
ENSG00000173209,4.069845669,17.86160529,20.0631113,26.22967129,8.398962959
ENSG00000186063,3.26101904,3.607500754,2.879191521,11.22402094,5.353978105
ENSG00000126878,0.357912156,5.657827871,27.82211106,2.940102868,29.81572163
ENSG00000156709,5.288956048,10.25492889,7.600931879,8.420315388,10.85561889
ENSG00000146416,31.30643481,32.7854423,26.42256081,31.83099873,17.37821972
ENSG00000164022,11.95829343,10.82494727,19.46327675,20.40231661,9.88488242
ENSG00000110711,9.238886824,5.026215606,11.27241691,18.28010558,18.53265974
ENSG00000196581,3.311550009,0.558088144,2.100115942,2.059798383,1.020981461
ENSG00000106992,10.16993366,15.92965801,6.367219747,5.610938171,6.625100147
